Retrogore, 0.299 0.98 0.122 -3.872
bee, 0.759 0.559 0.231 -8.166
Cold Wind Blows, 0.619 0.972 0.584 -0.517
ホタルノヒカリ, 0.566 0.919 0.55 -1.901
Heart-Shaped Box, 0.256 0.641 0.382 -10.283
Situation, 0.482 0.634 0.714 -7.971
SHI=DEATH, 0.471 0.965 0.37 -3.135
Fulminating Fire, 0.296 0.861 0.156 -11.396
Fair Trade (with Travis Scott), 0.666 0.465 0.292 -8.545
24 (feat. Lil Baby), 0.868 0.638 0.459 -7.746
Tempel, 0.404 0.605 0.345 -11.043
Lavender, 0.548 0.558 0.7 -4.339
Sextasy, 0.784 0.416 0.259 -9.231
Unmerciful, 0.282 0.996 0.0394 -4.991
Video Girl, 0.87 0.567 0.369 -6.278
Sky Fall, 0.652 0.69 0.249 -7.1
Nowadays (feat. Landon Cube), 0.745 0.646 0.46 -6.987
Maya, 0.688 0.606 0.781 -8.174
Aami Chini Go Chini, 0.513 0.319 0.635 -12.852
Ojanai - Lofi Remix, 0.377 0.414 0.0901 -12.773
Adam & Eve, 0.781 0.696 0.692 -5.553
Trance (with Travis Scott & Young Thug), 0.765 0.552 0.492 -7.524
Smile Then Bleed, 0.18 0.879 0.227 -4.821
Bad Days, 0.694 0.5 0.537 -6.855
Darkness, 0.504 0.671 0.272 -10.641
We Don't Talk Anymore (feat. Selena Gomez), 0.728 0.563 0.352 -8.053
Aj Raate Kono Rupkotha Nei, 0.446 0.638 0.587 -6.464
Benche Thakar Gaan - Reprise, 0.727 0.764 0.811 -6.834
Caroline (feat. Polo G), 0.752 0.644 0.354 -6.042
Creep, 0.515 0.43 0.104 -9.935
505, 0.688 0.716 0.373 -5.702
Falling Fire, 0.622 0.654 0.0734 -8.28
Progenies of the Great Apocalypse, 0.11 0.939 0.097 -3.975
So Bad, 0.771 0.805 0.768 0.49
Tumi Amar - Duet, 0.523 0.448 0.642 -11.599
Palms, 0.694 0.649 0.396 -10.074
SAKURA, 0.463 0.514 0.41 -5.031
Hasimukhey, 0.467 0.698 0.575 -6.816
Jao Pakhi Bolo Tare (Kaz.Kazim Remix), 0.531 0.588 0.232 -9.387
Untitled Two, 0.396 0.617 0.381 -5.732
Del I - Helvete, 0.0911 0.844 0.113 -3.852
Can I Be Him, 0.696 0.543 0.479 -6.164
Exercises in Futility III, 0.0933 0.973 0.0275 -5.368
Epitaph 2015, 0.474 0.357 0.371 -12.349
You Calling My Name, 0.813 0.667 0.514 -4.061
Idioteque, 0.615 0.931 0.525 -7.8
Puritania, 0.303 0.969 0.163 -2.466
K.I.N.G, 0.533 0.954 0.398 -6.632
Plug Walk, 0.872 0.519 0.154 -6.531
Onnosomoy, 0.52 0.899 0.724 -6.794
Insecure, 0.512 0.511 0.651 -4.412
Abar Abar Jigay, 0.924 0.636 0.718 -6.709
soft boy, 0.524 0.364 0.436 -10.209
Cotton Candy Lemonade, 0.651 0.533 0.724 -8.131
Streetcar, 0.41 0.298 0.142 -11.796
FE!N (feat. Playboi Carti), 0.569 0.882 0.201 -2.777
Ahare, 0.633 0.541 0.516 -7.712
Bhul Jonmo, 0.487 0.884 0.476 -7.001
New Heights (Visions of Aisha Malik), 0.749 0.612 0.799 -10.575
Babydoll, 0.762 0.604 0.847 -5.296
A Blaze in the Northern Sky - Studio, 0.177 0.999 0.0344 -5.327
You’re Never Over, 0.486 0.962 0.619 -1.615
I Don't Know You, 0.878 0.326 0.592 -9.616
Mr. Loverman, 0.775 0.708 0.548 -6.073
Bring Me To Life, 0.331 0.943 0.296 -3.188
May It Be, 0.129 0.179 0.0735 -17.081
Hipcats, 0.89 0.958 0.796 -4.955
Last Train, 0.728 0.44 0.486 -9.847
She, 0.646 0.696 0.18 -6.505
We Made You, 0.924 0.853 0.67 -1.203
Bleeding Love, 0.635 0.647 0.201 -5.864
Let Me Know (I Wonder Why Freestyle), 0.635 0.537 0.383 -7.895
Oh Okay (feat. Young Thug & Lil Baby), 0.889 0.516 0.732 -8.852
Chera Ghuri, 0.523 0.116 0.433 -18.282
Kill You, 0.829 0.624 0.7 -6.452
Tempest, 0.343 0.798 0.0549 -5.962
Kappa, 0.366 0.917 0.24 -7.536
Bones, 0.772 0.75 0.587 -3.67
踊り子, 0.712 0.517 0.686 -10.157
Only Taste For Decay, 0.463 0.995 0.0481 -4.177
Paranoid Android, 0.251 0.848 0.207 -6.501
Starboy, 0.679 0.587 0.486 -7.015
Into Space (Intro), 0.505 0.47 0.157 -10.189
Dreamscape, 0.549 0.719 0.586 -7.266
Legacy, 0.668 0.896 0.564 -3.76
SLAVES OF FEAR, 0.403 0.53 0.0503 -9.992
I Could Use a Love Song, 0.638 0.634 0.473 -6.474
Dripping With Disgust, 0.52 0.951 0.37 -7.634
Disco Man, 0.765 0.539 0.889 -4.927
telepatía, 0.818 0.623 0.968 -5.901
Dreadbringer, 0.49 0.971 0.12 -4.186
踊り子, 0.718 0.475 0.678 -11.469
"One Of The Girls (with JENNIE,  Lily Rose Depp)" 0.264 0.151 8
Human Sadness, 0.231 0.752 0.115 -4.744
Götterdämmerung, 0.483 0.961 0.177 -3.314
Sensitive, 0.601 0.649 0.351 -6.979
Hell Breaks Loose, 0.57 0.883 0.911 -3.099
Jackie Chan, 0.747 0.834 0.687 -2.867
VALENTINO, 0.746 0.717 0.523 -4.841
MY EYES, 0.455 0.621 0.28 -7.694
death bed (coffee for your head), 0.726 0.431 0.348 -8.765
Opare, 0.348 0.758 0.259 -5.444
Why Don't You Stay (WorldTour Ver.), 0.349 0.261 0.429 -7.406
Surrender Now, 0.376 0.898 0.0497 -8.368
Happier Than Ever, 0.654 0.434 0.223 -11.163
Le chant de Roma (虐げられた者達の為に), 0.196 0.72 0.0382 -6.278
Motion Picture Soundtrack, 0.112 0.13 0.0427 -16.128
Obhijog, 0.571 0.733 0.345 -6.891
Ma, 0.621 0.689 0.294 -4.373
Low Life (feat. The Weeknd), 0.722 0.331 0.102 -7.789
WINTER FLOWER(Feat.RM), 0.564 0.796 0.241 -3.698
Killshot, 0.893 0.651 0.6 -8.647
Equal, 0.366 0.835 0.178 -8.067
In the Shadow of the Horns - Studio, 0.141 0.999 0.0342 -5.335
遥か彼方, 0.316 0.951 0.255 -3.757
Damage, 0.824 0.764 0.881 -4.175
Won't Back Down, 0.48 0.951 0.347 -2.346
Un-Break My Heart, 0.625 0.426 0.112 -8.4
群青, 0.725 0.853 0.707 -3.193
Stabwound Intercourse, 0.242 0.978 0.193 -7.627
Hello, 0.424 0.222 0.0606 -15.053
Brishti Bilash - Karagar Version, 0.357 0.339 0.194 -13.266
Call Me Revenge - Call of Duty: Modern Warfare 3, 0.674 0.751 0.474 -6.287
Khoka, 0.791 0.606 0.558 -6.8
The Real Slim Shady, 0.947 0.655 0.787 -4.243
Mood (feat. iann dior), 0.7 0.722 0.756 -3.558
Reign of Dreams, 0.407 0.957 0.0735 -5.332
this is what falling in love feels like, 0.422 0.44 0.332 -5.53
スパークル, 0.433 0.503 0.228 -5.919
Nonstop, 0.912 0.412 0.423 -8.074
Celestica, 0.543 0.7 0.321 -5.819
Gassed Up, 0.798 0.568 0.45 -9.072
So Much Better, 0.554 0.856 0.627 -1.369
Bohemian Rhapsody - Remastered 2011, 0.411 0.404 0.226 -9.928
Sparkle - Movie Version, 0.374 0.432 0.295 -8.395
jar of hearts, 0.349 0.348 0.0886 -6.142
White Men Can't Blump, 0.355 0.967 0.294 -4.955
