track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Pick Up Your Phone,Hojean,0.855,0.546,0,-5.192,1,0.0364,0.0513,0.000292,0.0725,0.869,94.989,audio_features,5jDpJZ4AV0YVV8o9Ez2U9s,spotify:track:5jDpJZ4AV0YVV8o9Ez2U9s,https://api.spotify.com/v1/tracks/5jDpJZ4AV0YVV8o9Ez2U9s,https://api.spotify.com/v1/audio-analysis/5jDpJZ4AV0YVV8o9Ez2U9s,169413,4
Mr. Loverman,Ricky Montgomery,0.639,0.526,0,-6.697,1,0.0256,0.245,2.43E-05,0.25,0.488,130.033,audio_features,2IVsRhKrx8hlQBOWy4qebo,spotify:track:2IVsRhKrx8hlQBOWy4qebo,https://api.spotify.com/v1/tracks/2IVsRhKrx8hlQBOWy4qebo,https://api.spotify.com/v1/audio-analysis/2IVsRhKrx8hlQBOWy4qebo,216880,3
whiskey,Julian Skiboat,0.921,0.478,11,-7.467,0,0.037,0.576,1.72E-05,0.306,0.692,98.961,audio_features,6ptijxei8gTrFuIob3LyJW,spotify:track:6ptijxei8gTrFuIob3LyJW,https://api.spotify.com/v1/tracks/6ptijxei8gTrFuIob3LyJW,https://api.spotify.com/v1/audio-analysis/6ptijxei8gTrFuIob3LyJW,198879,4
Addiction,Doja Cat,0.775,0.708,7,-6.073,1,0.166,0.00993,0.000537,0.128,0.548,90.005,audio_features,2OAcH9SD8ehxuG0tWNe0cU,spotify:track:2OAcH9SD8ehxuG0tWNe0cU,https://api.spotify.com/v1/tracks/2OAcH9SD8ehxuG0tWNe0cU,https://api.spotify.com/v1/audio-analysis/2OAcH9SD8ehxuG0tWNe0cU,208480,4
Far Away,EASHA,0.768,0.519,5,-8.494,1,0.0739,0.402,0,0.183,0.452,112.973,audio_features,0Y4xg5612xZ3vAgWEkMjw3,spotify:track:0Y4xg5612xZ3vAgWEkMjw3,https://api.spotify.com/v1/tracks/0Y4xg5612xZ3vAgWEkMjw3,https://api.spotify.com/v1/audio-analysis/0Y4xg5612xZ3vAgWEkMjw3,185084,4
Get You (feat. Kali Uchis),"Daniel Caesar, Kali Uchis",0.658,0.294,4,-8.533,0,0.0321,0.422,5.20E-05,0.0749,0.358,74.038,audio_features,7zFXmv6vqI4qOt4yGf3jYZ,spotify:track:7zFXmv6vqI4qOt4yGf3jYZ,https://api.spotify.com/v1/tracks/7zFXmv6vqI4qOt4yGf3jYZ,https://api.spotify.com/v1/audio-analysis/7zFXmv6vqI4qOt4yGf3jYZ,278180,4
Heaven,TAEMIN,0.59,0.824,1,-3.787,0,0.0705,0.0467,0,0.468,0.527,83.056,audio_features,2hjaiDsLLBlY68XrgjZk7F,spotify:track:2hjaiDsLLBlY68XrgjZk7F,https://api.spotify.com/v1/tracks/2hjaiDsLLBlY68XrgjZk7F,https://api.spotify.com/v1/audio-analysis/2hjaiDsLLBlY68XrgjZk7F,182080,4
Yucky Blucky Fruitcake,Doechii,0.596,0.617,9,-7.52,1,0.286,0.481,0,0.659,0.906,98.099,audio_features,1j3SdMJfeRJXycCp50boYE,spotify:track:1j3SdMJfeRJXycCp50boYE,https://api.spotify.com/v1/tracks/1j3SdMJfeRJXycCp50boYE,https://api.spotify.com/v1/audio-analysis/1j3SdMJfeRJXycCp50boYE,275527,4
Amy,"Yuna, Masego",0.714,0.544,9,-8.871,0,0.272,0.722,0.000386,0.104,0.445,85.012,audio_features,58RTRxdJg6JHyq83zUhgAN,spotify:track:58RTRxdJg6JHyq83zUhgAN,https://api.spotify.com/v1/tracks/58RTRxdJg6JHyq83zUhgAN,https://api.spotify.com/v1/audio-analysis/58RTRxdJg6JHyq83zUhgAN,201120,4
Moments,Lieko,0.633,0.318,0,-14.465,1,0.167,0.839,0.000107,0.0929,0.222,142.062,audio_features,7GmKoPKD7XGZdNGNFuq0Wz,spotify:track:7GmKoPKD7XGZdNGNFuq0Wz,https://api.spotify.com/v1/tracks/7GmKoPKD7XGZdNGNFuq0Wz,https://api.spotify.com/v1/audio-analysis/7GmKoPKD7XGZdNGNFuq0Wz,233316,4
